0,0,382.83000000,1.549,25011.20063080,25092.00000000,0.19482800,25105.84000000,0.00482000,25112.50000000,0.00364400,24709.17000000,25490.18000000,24446.44000000,90.54392800,2264612.34910870
25112.50000000,25105.84000000,382.83000000,1.549,25011.20063080,25092.00000000,0.19482800,25105.84000000,0.00482000,25112.50000000,0.00364400,24709.17000000,25490.18000000,24446.44000000,90.54392800,2264612.34910870
25112.50000000,25105.84000000,504.10000000,2.042,25014.33936337,25193.15000000,0.01294400,25204.21000000,0.00493700,25209.14000000,0.00001500,24689.05000000,25490.18000000,24446.44000000,90.52481100,2264418.34315909
25209.14000000,25204.21000000,555.11000000,2.249,25017.83171187,25241.85000000,0.00404100,25200.70000000,0.00342500,25207.54000000,0.00476100,24686.74000000,25490.18000000,24446.44000000,90.19328500,2256440.42567063
25207.54000000,25200.70000000,553.30000000,2.238,25021.29238610,25275.36000000,0.00411300,25285.37000000,0.00384000,25292.12000000,0.00344900,24722.06000000,25490.18000000,24446.44000000,90.60021100,2266934.36967316
25292.12000000,25285.37000000,586.07000000,2.373,25024.80523709,25283.31000000,0.00131500,25279.41000000,0.00418600,25283.31000000,0.16531000,24697.24000000,25490.18000000,24446.44000000,89.77215800,2246530.76966298
25283.31000000,25279.41000000,445.99000000,1.798,25032.13829556,25254.21000000,0.00487100,25239.27000000,0.00417000,25246.91000000,0.00390900,24808.22000000,25490.18000000,24446.44000000,89.90164200,2250430.33554185
25246.91000000,25239.27000000,463.21000000,1.863,25036.20677275,25323.51000000,0.00300000,25325.82000000,0.00409300,25331.76000000,0.00398900,24860.30000000,25490.18000000,24446.44000000,91.06112800,2279825.22956752
25331.76000000,25325.82000000,704.68000000,2.859,25040.17003964,25350.42000000,0.00419300,25370.42000000,0.23164300,25374.59000000,0.00431800,24645.74000000,25490.18000000,24446.44000000,90.86562600,2275290.72579865
25374.59000000,25370.42000000,708.63000000,2.874,25050.43804333,25361.42000000,0.00398300,25372.89000000,0.00342700,25379.08000000,0.00370800,24652.79000000,25490.18000000,24446.44000000,92.09916700,2307124.47677557
25379.08000000,25372.89000000,636.60000000,2.575,25053.10217474,25354.95000000,0.00221100,25362.45000000,0.00343900,25369.89000000,0.00406500,24718.35000000,25490.18000000,24446.44000000,92.64250400,2320982.11843620
25369.89000000,25362.45000000,828.55000000,3.358,25065.81276866,25499.99000000,0.00300000,25528.08000000,0.00383500,25534.55000000,0.00363100,24671.44000000,25521.31000000,24446.44000000,93.55385000,2345003.28788744
25534.55000000,25528.08000000,1002.83000000,4.080,25079.27659923,25581.55000000,0.03194300,25575.26000000,0.00375100,25578.85000000,0.16579900,24578.72000000,25631.27000000,24446.44000000,95.25327800,2388883.30594576
25578.85000000,25575.26000000,1045.78000000,4.263,25092.11289113,25574.58000000,0.00485700,25563.01000000,0.00382100,25569.24000000,0.00453700,24528.80000000,25645.00000000,24519.21000000,96.33897600,2417348.46160762
25569.24000000,25563.01000000,1109.68000000,4.513,25096.41926386,25700.00000000,0.03694300,25698.71000000,0.00350200,25700.00000000,0.07416100,24590.32000000,25700.00000000,24519.21000000,97.08229700,2436418.02861058
25700.00000000,25698.71000000,1161.27000000,4.711,25100.92103723,25813.39000000,0.02526300,25806.77000000,0.00371600,25813.39000000,0.16574900,24652.12000000,25831.04000000,24519.21000000,97.62631800,2450510.49927397
25813.39000000,25806.77000000,1189.30000000,4.824,25109.95865260,25845.03000000,0.00300300,25845.03000000,0.18810100,25891.76000000,0.00443400,24655.73000000,25884.33000000,24519.21000000,98.48495600,2472953.17306280
25891.76000000,25845.03000000,1294.93000000,5.266,25119.75292017,25886.23000000,0.02489100,25886.23000000,0.47510900,25938.06000000,0.00064500,24591.30000000,25936.76000000,24519.21000000,99.62349600,2502517.60456381
25938.06000000,25886.23000000,1444.82000000,5.847,25172.18116647,26153.79000000,0.00405700,26134.43000000,0.16376800,26162.99000000,0.23358200,24708.97000000,26260.37000000,24519.21000000,104.49678800,2630412.07885023
26162.99000000,26134.43000000,1446.32000000,5.834,25200.98126589,26237.37000000,0.00057700,26199.72000000,0.00421300,26205.90000000,0.00395600,24791.05000000,26380.37000000,24519.21000000,106.54345000,2684999.48745381
26205.90000000,26199.72000000,1595.08000000,6.458,25216.77738080,26295.07000000,0.00300000,26284.67000000,0.00409300,26296.39000000,0.00305500,24699.99000000,26380.37000000,24519.21000000,108.13892100,2726915.09705716
26296.39000000,26284.67000000,1808.05000000,7.340,25261.47322086,26440.13000000,0.00300300,26436.24000000,0.21533400,26439.34000000,0.00410700,24632.08000000,26492.44000000,24519.21000000,111.33821700,2812567.38720336
26439.34000000,26436.24000000,1985.03000000,8.059,25333.33543646,26615.87000000,0.19637000,26530.16000000,0.00037700,26573.66000000,0.16644300,24630.84000000,27000.00000000,24519.21000000,116.71692900,2956829.11347039
26573.66000000,26530.16000000,2237.65000000,9.053,25428.47407198,26956.00000000,0.01150300,26913.73000000,0.20099300,26963.41000000,0.17896000,24718.35000000,27015.82000000,24519.21000000,124.11032200,3155936.10504270
26963.41000000,26913.73000000,2082.88000000,8.419,25463.50442988,26822.36000000,0.09565600,26837.06000000,0.00468900,26842.91000000,0.17798400,24739.48000000,27015.82000000,24519.21000000,127.14371600,3237524.57559789
26842.91000000,26837.06000000,1854.13000000,7.504,25527.59457101,26562.07000000,0.00434800,26556.07000000,0.00319500,26588.03000000,0.22897400,24707.94000000,27015.82000000,24519.21000000,135.81086300,3466924.64900276
