0,0,130.44000000,0.502,26151.93581242,26107.90000000,0.00300300,26081.29000000,0.16380600,26116.00000000,0.10000000,25977.46000000,26506.58000000,25640.00000000,70.20492700,1835994.74461993
26116.00000000,26081.29000000,130.44000000,0.502,26151.93581242,26107.90000000,0.00300300,26081.29000000,0.16380600,26116.00000000,0.10000000,25977.46000000,26506.58000000,25640.00000000,70.20492700,1835994.74461993
26116.00000000,26081.29000000,88.25000000,0.341,26151.45540030,25956.51000000,0.00300000,25937.37000000,0.00360500,25959.41000000,0.00345800,25868.26000000,26506.58000000,25640.00000000,70.78053200,1851013.92580746
25959.41000000,25937.37000000,138.38000000,0.533,26151.15970951,26080.30000000,0.00900000,26087.31000000,0.00385100,26091.00000000,1.00000000,25941.92000000,26506.58000000,25640.00000000,71.22544900,1862628.09218033
26091.00000000,26087.31000000,184.96000000,0.714,26154.06045197,26099.00000000,0.07258200,26088.69000000,0.00483000,26090.00000000,1.00000000,25914.04000000,26506.58000000,25640.00000000,71.14616300,1860761.04802772
26090.00000000,26088.69000000,252.17000000,0.973,26154.07834454,26170.09000000,0.47187000,26153.28000000,0.00455200,26159.45000000,0.00465500,25917.92000000,26506.58000000,25640.00000000,72.98749900,1908920.76701790
26159.45000000,26153.28000000,278.75000000,1.078,26154.68144092,26130.67000000,0.00346700,26111.57000000,0.00321200,26112.88000000,0.00857600,25851.92000000,26506.58000000,25640.00000000,72.88557300,1906298.94345403
26112.88000000,26111.57000000,266.47000000,1.030,26156.18697659,26137.88000000,0.03702500,26152.58000000,0.00461600,26158.71000000,0.00491800,25871.41000000,26506.58000000,25640.00000000,73.20294700,1914709.96896912
26158.71000000,26152.58000000,282.31000000,1.090,26163.50561467,26172.94000000,0.07316400,26171.63000000,0.00320600,26172.94000000,0.10518200,25890.63000000,26506.58000000,25640.00000000,71.92994400,1881939.49370720
26172.94000000,26171.63000000,415.82000000,1.619,26168.89176300,26098.50000000,0.00417800,26062.27000000,0.07842600,26086.00000000,0.54506100,25682.68000000,26506.58000000,25641.29000000,71.41912500,1868959.35193323
26086.00000000,26062.27000000,376.97000000,1.470,26169.91980937,26018.26000000,0.00191600,26004.60000000,0.96202300,26043.99000000,0.00439700,25641.29000000,26506.58000000,25641.29000000,71.71095000,1876669.81095403
26043.99000000,26004.60000000,354.03000000,1.375,26182.10524923,26103.10000000,0.00850000,26131.37000000,0.00355700,26138.51000000,0.00418300,25749.07000000,26506.58000000,25649.56000000,69.89323000,1829951.90406855
26138.51000000,26131.37000000,412.82000000,1.603,26185.81131168,26167.60000000,0.00487700,26173.15000000,0.00329500,26179.28000000,0.00354500,25754.78000000,26506.58000000,25649.56000000,70.43872200,1844495.08332790
26179.28000000,26173.15000000,443.08000000,1.721,26189.25519364,26184.16000000,0.17859100,26185.69000000,0.00498200,26187.00000000,0.39494500,25741.08000000,26506.58000000,25649.56000000,70.65223900,1850329.51717275
26187.00000000,26185.69000000,470.45000000,1.830,26190.32781032,26173.68000000,0.01545700,26167.82000000,0.22917900,26177.35000000,0.00364100,25703.23000000,26506.58000000,25649.56000000,73.86328000,1934503.51634543
26177.35000000,26167.82000000,428.05000000,1.668,26192.80823796,26084.92000000,0.03281600,26098.80000000,0.00386300,26105.47000000,0.00342100,25656.87000000,26506.58000000,25656.87000000,73.81497700,1933421.53765064
26105.47000000,26098.80000000,281.54000000,1.089,26194.19888316,26130.69000000,0.03326800,26125.13000000,0.00314200,26126.45000000,0.00457600,25849.15000000,26506.58000000,25790.55000000,74.09611300,1940888.32039125
26126.45000000,26125.13000000,203.40000000,0.782,26204.91292277,26199.07000000,0.00040000,26187.40000000,0.00389000,26193.47000000,0.00427200,25995.67000000,26506.58000000,25790.55000000,72.94223800,1911444.99518228
26193.47000000,26187.40000000,134.72000000,0.518,26208.26955772,26159.79000000,0.00388000,26176.42000000,0.00353000,26182.68000000,0.00497300,26025.07000000,26506.58000000,25790.55000000,72.62275300,1903316.68664753
26182.68000000,26176.42000000,156.58000000,0.601,26209.86782193,26228.00000000,0.03824000,26215.93000000,0.00340700,26217.25000000,0.00416400,26071.42000000,26506.58000000,25790.55000000,72.83997400,1909126.09069296
26217.25000000,26215.93000000,1.62000000,0.006,26210.02375408,26304.03000000,0.00214500,26276.54000000,0.00403500,26283.12000000,0.00448400,26302.41000000,26506.58000000,25790.55000000,72.41921100,1898109.24056170
26283.12000000,26276.54000000,90.31000000,0.344,26209.80005689,26341.83000000,0.00305800,26307.45000000,0.00453300,26313.91000000,0.00338400,26251.52000000,26506.58000000,25790.55000000,72.14082100,1890796.49434972
26313.91000000,26307.45000000,8.24000000,0.031,26210.26511756,26280.00000000,0.20000000,26257.84000000,0.16724000,26259.86000000,0.00473300,26271.76000000,26506.58000000,25790.55000000,72.71483400,1905875.07711940
26259.86000000,26257.84000000,195.68000000,0.751,26211.77854859,26235.60000000,0.00639500,26252.33000000,0.17808000,26274.25000000,0.21452300,26039.92000000,26506.58000000,25900.00000000,71.02530700,1861699.61842995
26274.25000000,26252.33000000,286.79000000,1.105,26214.07536301,26238.13000000,0.00050000,26237.38000000,0.00325100,26244.66000000,0.00440000,25951.34000000,26506.58000000,25900.00000000,70.32597300,1843530.35619873
26244.66000000,26237.38000000,115.84000000,0.444,26217.73525342,26227.53000000,0.00300000,26241.18000000,0.00354800,26248.93000000,0.00344500,26111.69000000,26506.58000000,25900.00000000,69.98943000,1834964.34627780
